RUA ARI RODRIGUES                                                       ABRAHÃO ALAB                                                            RIO BRANCO                                                              ACRE                                                                    AC10000002 
RUA CARMÓPOLIS                                                          ABRAHÃO ALAB                                                            RIO BRANCO                                                              ACRE                                                                    AC10000004 
RUA LADISLAU FERREIRA                                                   ABRAHÃO ALAB                                                            RIO BRANCO                                                              ACRE                                                                    AC10000006 
RUA LEBLON                                                              ABRAHÃO ALAB                                                            RIO BRANCO                                                              ACRE                                                                    AC10000008 
RUA MOZART                                                              ABRAHÃO ALAB                                                            RIO BRANCO                                                              ACRE                                                                    AC10000010 
RUA PIO XII                                                             ABRAHÃO ALAB                                                            RIO BRANCO                                                              ACRE                                                                    AC10000012 
RUA RUBENS CARNEIRO                                                     ABRAHÃO ALAB                                                            RIO BRANCO                                                              ACRE                                                                    AC10000014 
RUA SÃO VICENTE                                                         ABRAHÃO ALAB                                                            RIO BRANCO                                                              ACRE                                                                    AC10000016 
RUA VETERANO HENRIQUE JULIÃO                                            ABRAHÃO ALAB                                                            RIO BRANCO                                                              ACRE                                                                    AC10000018 
RUA VETERANO HERNESTO SALES                                             ABRAHÃO ALAB                                                            RIO BRANCO                                                              ACRE                                                                    AC10000020 
